,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
71,71,1.0,0.010818307905686546,0.7378225312691332,0.2830771034128943,993,500,670.2364864864865,135.15677583478399,187.0,1.0,61.777027027027025,37.31929494964031
72,72,1.0,0.010818307905686546,0.7383794568195429,0.2822966298062081,993,500,669.496644295302,135.05293259124718,187.0,1.0,61.83221476510067,37.23533362044414
73,73,1.0,0.010818307905686546,0.7402949607027277,0.28218140856117774,993,500,670.4466666666667,135.10377711543964,187.0,1.0,61.916666666666664,37.12551776230585
74,74,1.0,0.010818307905686546,0.7391290726817042,0.2825137846891416,993,500,670.3223684210526,135.8610045867076,187.0,1.0,61.78947368421053,37.02556989601536
75,75,1.0,0.010818307905686546,0.7407024566254192,0.28191914398242374,993,500,670.9837133550488,136.4181015360088,187.0,1.0,61.90228013029316,36.91728381743729
76,76,1.0,0.010818307905686546,0.7440197612527709,0.2808818745917158,993,500,669.6923076923077,136.2945134995958,187.0,1.0,62.55448717948718,37.24979007765569
77,77,1.0,0.010818307905686546,0.7451702147957349,0.2798961237010429,993,500,668.7555555555556,136.07681160044592,187.0,1.0,62.67619047619048,37.09915151005683
78,78,1.0,0.010818307905686546,0.7447838650023116,0.2804315852878013,993,500,668.9875,136.36625436358364,187.0,1.0,62.546875,37.0147516503021
79,79,1.0,0.010818307905686546,0.742768959435626,0.2809732311385463,993,500,670.608024691358,136.96580689130553,187.0,1.0,62.20061728395062,36.98196196057876
80,80,1.0,0.010818307905686546,0.7392806287563569,0.28057682415369867,993,500,663.8153846153846,131.96507351106436,187.0,1.0,62.326153846153844,37.2433367846223
81,81,1.0,0.010818307905686546,0.737880195277541,0.2805539808440602,993,500,663.440366972477,131.82893017758565,187.0,1.0,62.14373088685015,37.22293329017614
82,82,1.0,0.010818307905686546,0.7388181269360569,0.28054681971262924,993,500,662.5229357798165,131.91254281100026,187.0,1.0,62.34862385321101,37.24641280050091
83,83,1.0,0.010818307905686546,0.7374194627241518,0.28241472800746226,993,500,662.6595744680851,131.67483360884088,187.0,1.0,62.109422492401215,36.98961871462415
84,84,1.0,0.010818307905686546,0.7379859622578069,0.2821729203748303,993,500,662.4818181818182,131.51421607612934,187.0,1.0,62.154545454545456,36.942455793657174
85,85,1.0,0.010818307905686546,0.7386976393952732,0.28280485001687616,993,500,663.4101796407185,131.86480479229695,187.0,1.0,62.31137724550898,37.059388129702725
86,86,1.0,0.010818307905686546,0.7379944055061454,0.28273428980586485,993,500,662.7032640949554,131.6468527105745,187.0,1.0,62.22848664688427,36.96062119917816
87,87,1.0,0.010818307905686546,0.7363263524240662,0.28434924342041606,993,500,664.3372434017596,133.94619438865132,187.0,1.0,61.956011730205276,37.124288076990666
88,88,1.0,0.010818307905686546,0.7368610306780976,0.2839456440268855,993,500,665.3801169590644,133.7508800069202,187.0,1.0,61.812865497076025,37.09629315657287
89,89,1.0,0.010818307905686546,0.7378885376683977,0.283486249738388,993,500,664.7994186046511,133.60936010449532,187.0,1.0,61.968023255813954,37.05415815147238
90,90,1.0,0.010818307905686546,0.737352460359651,0.2846837362547206,993,500,664.2478386167147,133.28790913730148,187.0,1.0,61.94236311239193,37.044608605969934
91,91,1.0,0.010818307905686546,0.7384183358293391,0.2835772989689295,993,500,663.7264957264957,133.62375476998037,187.0,1.0,62.06267806267806,36.892299664317115
92,92,1.0,0.010818307905686546,0.7367140219040827,0.28317539046154694,993,500,663.1694915254237,133.4271063951669,187.0,1.0,61.86158192090395,36.818682038681224
93,93,1.0,0.010818307905686546,0.734337192933244,0.28490196700015413,993,500,662.9494382022472,133.381176638136,187.0,1.0,61.66573033707865,36.88303636602847
94,94,1.0,0.010818307905686546,0.7350793350306561,0.284728254898371,993,500,663.5682451253482,133.18437757541994,187.0,1.0,61.73259052924791,36.88417355605074
95,95,1.0,0.010818307905686546,0.7343739426670489,0.28480935515656275,993,500,663.7346368715084,133.33340816352373,187.0,1.0,61.60614525139665,36.86402702826627
96,96,1.0,0.010818307905686546,0.7341335733795912,0.2845357622684801,993,500,663.5626740947075,133.18691804827512,187.0,1.0,61.53760445682451,36.826303840876285
97,97,1.0,0.010818307905686546,0.7282524400624841,0.28682873027109057,993,500,662.4874651810585,133.0726026643712,187.0,1.0,60.91643454038997,36.961685319603504
98,98,1.0,0.010818307905686546,0.7285683803020835,0.285784795034053,993,500,662.4697802197802,133.6826004076155,187.0,1.0,60.892857142857146,36.73847794222315
99,99,1.0,0.010818307905686546,0.7289321904155582,0.2852154170329819,993,500,662.7732240437158,133.52028400204972,187.0,1.0,60.83879781420765,36.67194400228814
100,100,1.0,0.010818307905686546,0.727290085660912,0.2859042846119957,993,500,662.6720867208672,133.24333455159118,187.0,1.0,60.70189701897019,36.72914998128957
