,generation,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
69,69,1.0,0.009986130374479889,0.6626680728925874,0.30605388720991616,989,500,673.9947916666666,130.6989465620022,180.0,1.0,55.953125,40.75675372838762
70,70,1.0,0.009986130374479889,0.6641334343766533,0.3055269801065764,989,500,674.5412371134021,130.21135011978035,180.0,1.0,55.94845360824742,40.648721661644124
71,71,1.0,0.009986130374479889,0.6634186866802312,0.3043119096536714,989,500,673.0659898477157,129.78333872603773,180.0,1.0,55.857868020304565,40.45367849274944
72,72,1.0,0.009986130374479889,0.6634186866802312,0.3043119096536714,989,500,673.0659898477157,129.78333872603773,180.0,1.0,55.857868020304565,40.45367849274944
73,73,1.0,0.009986130374479889,0.6634186866802312,0.3043119096536714,989,500,673.0659898477157,129.78333872603773,180.0,1.0,55.857868020304565,40.45367849274944
74,74,1.0,0.009986130374479889,0.6634186866802312,0.3043119096536714,989,500,673.0659898477157,129.78333872603773,180.0,1.0,55.857868020304565,40.45367849274944
75,75,1.0,0.009986130374479889,0.6637663583753255,0.30304413055362195,989,500,671.7587939698492,129.7805533616704,180.0,1.0,55.96482412060301,40.276741776433184
76,76,1.0,0.009986130374479889,0.6637663583753255,0.30304413055362195,989,500,671.7587939698492,129.7805533616704,180.0,1.0,55.96482412060301,40.276741776433184
77,77,1.0,0.009986130374479889,0.6630727057911524,0.30365482977008645,989,500,672.5151515151515,129.6729477313105,180.0,1.0,55.80808080808081,40.31907680830055
78,78,1.0,0.009986130374479889,0.6601354600092464,0.30371748743677285,989,500,672.185,129.743468479401,180.0,1.0,55.55,40.23895335162396
79,79,1.0,0.009986130374479889,0.6629227832630697,0.3035303746466673,994,500,674.3366336633663,131.30036790312874,180.0,1.0,55.55940594059406,40.0453590536393
80,80,1.0,0.009986130374479889,0.665296760612059,0.3032197783340676,994,500,673.8106796116505,130.49025038816177,180.0,1.0,55.99514563106796,40.13884409880836
81,81,1.0,0.009986130374479889,0.6669400389957587,0.30340170520777476,994,500,674.0386473429952,130.28422422402716,180.0,1.0,56.130434782608695,40.08858384458615
82,82,1.0,0.009986130374479889,0.6692666710697224,0.3019140353298854,994,500,672.1619047619048,130.33737039221117,180.0,1.0,56.48095238095238,39.91740418643683
83,83,1.0,0.009986130374479889,0.6654977799876133,0.3039527782230901,994,500,671.0283018867924,130.3306373213563,180.0,1.0,56.14622641509434,39.89954607713931
