,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
36,36,50,15,0.8293740175681923,0.17218772842004748,0.5047619047619047,1.0,719.16,157.210096367886,511.0,993.0,74.22,44.86347735073598,21.0,180.0
37,37,50,18,0.8361276005547851,0.1736407918635364,0.5047619047619047,1.0,723.38,159.39383802393365,511.0,993.0,74.52,43.33646963009331,21.0,180.0
38,38,50,22,0.8277947295423022,0.1704663672856061,0.5047619047619047,1.0,721.14,160.85061516823617,511.0,993.0,73.14,43.38709946516361,21.0,180.0
39,39,50,17,0.8317300046232085,0.1751003033687151,0.5047619047619047,1.0,713.58,154.89313606483665,511.0,993.0,77.7,47.0579430064681,21.0,180.0
40,40,50,13,0.8441997226074897,0.17332410293785158,0.5047619047619047,1.0,720.1,154.2135208080018,511.0,993.0,79.74,48.734304139897176,21.0,180.0
41,41,50,12,0.8344244105409154,0.17352534021674085,0.5047619047619047,1.0,708.12,155.33237138471813,511.0,993.0,77.72,47.909514712633026,21.0,180.0
42,42,50,15,0.8276726768377255,0.17325871757928596,0.5047619047619047,1.0,697.0,161.29314926555313,511.0,993.0,77.98,46.89924946094553,21.0,180.0
43,43,50,12,0.8114433656957929,0.17909141771736461,0.5047619047619047,1.0,694.9,152.58692604545124,511.0,993.0,75.74,47.23084161858647,21.0,180.0
44,44,50,9,0.8212815533980583,0.17435617483123375,0.505039297272307,1.0,692.64,160.9660535640978,511.0,993.0,79.52,48.00134998101616,21.0,180.0
45,45,50,11,0.820882108183079,0.17764790273886719,0.505039297272307,1.0,703.48,164.74552983313387,511.0,993.0,79.04,48.92482396493625,21.0,180.0
46,46,50,11,0.8285769764216365,0.16325139065695105,0.5055016181229773,1.0,712.04,163.14827121364172,501.0,993.0,77.16,47.93093364415093,21.0,184.0
47,47,50,10,0.8291816920943134,0.16590049933349169,0.5055016181229773,1.0,708.9,158.66117987712053,501.0,993.0,77.76,47.690904793262206,18.0,184.0
48,48,50,14,0.8191326860841426,0.1663881936553611,0.5055016181229773,1.0,706.46,157.44144435313086,501.0,993.0,74.72,47.06550329062678,18.0,184.0
49,49,50,15,0.8078964401294497,0.1768727347732825,0.5015256588072122,1.0,705.76,160.44844156301426,501.0,993.0,73.14,46.71873714046646,18.0,184.0
50,50,50,13,0.8333925104022191,0.17503329369969112,0.5015256588072122,1.0,709.72,162.07356848048974,501.0,993.0,79.58,50.047213708657154,18.0,207.0
51,51,50,12,0.8312806287563569,0.17663901762425474,0.5015256588072122,1.0,697.62,158.7087760648415,501.0,993.0,80.16,49.74750647017396,18.0,207.0
52,52,50,14,0.8183042071197412,0.17870907797032637,0.5015256588072122,1.0,702.76,166.20825009607677,501.0,993.0,77.14,50.255351953796925,18.0,207.0
53,53,50,16,0.8273305594082292,0.17072330084176432,0.5015256588072122,1.0,673.96,158.45743403198222,501.0,993.0,82.06,51.18804938655116,18.0,207.0
54,54,50,13,0.8302505779010635,0.17011579467231433,0.5015256588072122,1.0,690.86,152.07735005581864,501.0,993.0,79.62,49.10840661231028,18.0,207.0
55,55,50,20,0.8301155802126678,0.16427597208273859,0.5015256588072122,1.0,711.82,166.1657834814376,501.0,993.0,76.02,49.30780465605826,18.0,207.0
56,56,50,10,0.8364697179842809,0.17103603812156684,0.5015256588072122,1.0,696.9,156.5958173132348,501.0,993.0,80.14,49.304770560261204,18.0,207.0
57,57,50,15,0.8194433656957928,0.17543769386862107,0.5015256588072122,1.0,713.86,164.24920212896012,501.0,993.0,76.52,49.60090321758264,18.0,207.0
58,58,50,14,0.8301044845122515,0.17581530240180068,0.5015256588072122,1.0,707.94,164.9687740149632,501.0,993.0,79.96,50.16531072364647,18.0,207.0
59,59,50,13,0.8005603328710126,0.1728435424771044,0.5015256588072122,1.0,688.4,159.68230960253547,501.0,993.0,76.88,50.32917245494903,18.0,207.0
60,60,50,14,0.7947646786870088,0.1766261719745176,0.5015256588072122,1.0,686.22,157.74172434711116,501.0,971.0,76.54,51.58224888466961,18.0,207.0
61,61,50,12,0.7923273231622745,0.18532424518135607,0.5015256588072122,1.0,694.26,156.5663833650123,501.0,971.0,75.3,51.831747028245154,18.0,207.0
62,62,50,9,0.7926823855755893,0.17961237188063744,0.5015256588072122,1.0,690.0,154.68186706915586,501.0,971.0,74.8,51.57635116989181,18.0,207.0
63,63,50,11,0.8035543226999536,0.1775466216531514,0.5015256588072122,1.0,684.72,156.3923322928589,501.0,971.0,78.76,54.463037006762676,18.0,207.0
64,64,50,13,0.8165603328710125,0.17627706116123243,0.5015256588072122,1.0,678.06,151.80927639640473,501.0,971.0,80.38,53.0825357344579,18.0,207.0
65,65,50,17,0.8101858529819695,0.1788616394501254,0.5015256588072122,1.0,666.06,150.76662893359392,501.0,971.0,81.76,52.75701280398654,18.0,207.0
66,66,50,10,0.8119056865464631,0.17963443764745377,0.5015256588072122,1.0,668.58,151.11758203465274,501.0,971.0,81.58,52.85492976061931,18.0,207.0
