,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std,coverage_gen,coverage_nevals,coverage_new_hof,altitude_gen,altitude_nevals,altitude_new_hof,costs_gen,costs_nevals,costs_new_hof
11,11,50,16,1.0,0.6044382801664355,0.8719833564493759,0.1346175513518609,988.0,513.0,717.6,155.1609486952178,273.0,27.0,91.84,67.51603068901488,11,50,16,11,50,16,11,50,16
12,12,50,17,1.0,0.6008321775312067,0.8685233472029588,0.13747478142047193,988.0,513.0,726.94,154.2048520637402,273.0,24.0,88.28,66.46022569928574,12,50,17,12,50,17,12,50,17
13,13,50,23,1.0,0.6001849283402682,0.8483069810448451,0.13932493566227083,988.0,513.0,705.66,150.5280850871358,273.0,24.0,86.18,67.3325151765475,13,50,23,13,50,23,13,50,23
14,14,50,20,1.0,0.6001849283402682,0.8463504392048081,0.1333546471730625,988.0,513.0,712.76,149.27914254844848,216.0,24.0,72.9,46.026188197590294,14,50,20,14,50,20,14,50,20
15,15,50,17,1.0,0.6008321775312067,0.8386389274156264,0.1338522934525839,988.0,513.0,706.14,145.63351400004052,216.0,24.0,72.16,46.088332579949125,15,50,17,15,50,17,15,50,17
16,16,50,13,1.0,0.6008321775312067,0.8471474803513638,0.13337923338027388,988.0,513.0,714.7,146.54094990820826,216.0,24.0,74.82,48.96189947295754,16,50,13,16,50,13,16,50,13
17,17,50,13,1.0,0.6008321775312067,0.8468885806749884,0.13463681650681955,988.0,513.0,714.74,149.7258574862739,216.0,24.0,73.8,48.731919724139736,17,50,13,17,50,13,17,50,13
18,18,50,17,1.0,0.6008321775312067,0.8363254738788719,0.13762359753458403,988.0,513.0,712.24,151.46610974076015,216.0,24.0,70.3,43.86672998982258,18,50,17,18,50,17,18,50,17
19,19,50,18,1.0,0.6008321775312067,0.8319796578825706,0.13958273400178453,988.0,513.0,720.62,153.58540165002663,216.0,24.0,68.46,43.94460603987707,19,50,18,19,50,18,19,50,18
20,20,50,17,1.0,0.6008321775312067,0.8489727230698105,0.14005617625168418,988.0,513.0,690.74,143.04332350725076,180.0,24.0,74.86,43.33544046158987,20,50,17,20,50,17,20,50,17
21,21,50,18,1.0,0.6045307443365696,0.8482662968099862,0.13928746855038682,988.0,513.0,703.16,153.79848633845523,180.0,24.0,73.24,43.11035142515078,21,50,18,21,50,18,21,50,18
22,22,50,18,1.0,0.610078594544614,0.8460305131761442,0.13766214541657393,988.0,513.0,714.38,158.01049205669858,180.0,24.0,71.36,42.86619180659742,22,50,18,22,50,18,22,50,18
23,23,50,18,1.0,0.610078594544614,0.8573943596856219,0.131922775132893,988.0,513.0,706.52,160.89154607996034,180.0,24.0,74.04,42.2904055312786,23,50,18,23,50,18,23,50,18
24,24,50,14,1.0,0.610078594544614,0.8505261211280629,0.1282945477417293,988.0,513.0,692.38,162.28036110386248,180.0,24.0,74.64,42.952420187924226,24,50,14,24,50,14,24,50,14
25,25,50,20,1.0,0.6038834951456311,0.8411946370781321,0.13547650945408865,988.0,513.0,677.04,153.5666578395193,180.0,24.0,75.24,42.94627341225313,25,50,20,25,50,20,25,50,20
26,26,50,19,1.0,0.6038834951456311,0.8572889505316691,0.1337514712401072,988.0,513.0,691.4,151.40171729541248,180.0,24.0,75.74,42.561395653808155,26,50,19,26,50,19,26,50,19
27,27,50,16,1.0,0.6038834951456311,0.8456717521960242,0.13870057679813694,988.0,513.0,686.54,149.7985594056231,180.0,24.0,74.04,41.90511186001059,27,50,16,27,50,16,27,50,16
28,28,50,17,1.0,0.6038834951456311,0.8584706426259824,0.13855670928489164,988.0,513.0,701.7,157.57591821087382,180.0,24.0,73.14,38.79381909531466,28,50,17,28,50,17,28,50,17
29,29,50,19,1.0,0.6038834951456311,0.861004160887656,0.14026978637501458,988.0,513.0,711.62,157.99213777906797,180.0,24.0,73.0,39.99699988749156,29,50,19,29,50,19,29,50,19
30,30,50,11,1.0,0.6038834951456311,0.8684845122515026,0.13763813559107824,988.0,511.0,709.18,160.29818339582016,308.0,24.0,78.26,51.76362042979606,30,50,11,30,50,11,30,50,11
31,31,50,14,1.0,0.6038834951456311,0.86726213592233,0.13771799390359235,988.0,511.0,711.0,152.1007560796461,308.0,24.0,78.12,52.35365889792231,31,50,14,31,50,14,31,50,14
32,32,50,8,1.0,0.6038834951456311,0.8628090614886732,0.1363030750839574,988.0,511.0,712.96,152.26594629134905,308.0,24.0,74.94,49.855555357452396,32,50,8,32,50,8,32,50,8
33,33,50,14,1.0,0.6038834951456311,0.8628719371243642,0.136520150479088,988.0,511.0,709.32,155.5226594422819,308.0,24.0,75.8,50.46265946222019,33,50,14,33,50,14,33,50,14
34,34,50,16,1.0,0.6038834951456311,0.8646490984743412,0.13722421879651367,988.0,511.0,702.92,158.93556430201517,308.0,24.0,82.26,61.59084672254475,34,50,16,34,50,16,34,50,16
35,35,50,12,1.0,0.6038834951456311,0.8617956541840037,0.13952477387284157,988.0,511.0,700.58,155.37053646042415,308.0,24.0,83.7,62.839875875116114,35,50,12,35,50,12,35,50,12
36,36,50,16,1.0,0.6038834951456311,0.8601257512713824,0.1399716411558002,988.0,511.0,705.1,157.8320943281182,308.0,24.0,83.28,61.99743220489055,36,50,16,36,50,16,36,50,16
37,37,50,16,1.0,0.6038834951456311,0.8556264447526583,0.14459395202644382,988.0,511.0,698.02,158.81076663752995,308.0,24.0,84.98,62.77562902910651,37,50,16,37,50,16,37,50,16
