,generation,NSGA-NC,NSGA-C50,NSGA-C60,NSGA-C70,NSGA-C80,NSGA-C90,NSGA-C95,NSGA-C99,NSGA-C100,MOGA-WS
31,31,0.0008163265306122449,0.0024489795918367346,0.0016326530612244899,0.0,0.0008163265306122449,0.0032653061224489797,0.0032653061224489797,0.061224489795918366,0.4326530612244898,0.022040816326530613
32,32,0.0016326530612244899,0.0016326530612244899,0.0008163265306122449,0.0008163265306122449,0.0,0.0024489795918367346,0.004081632653061225,0.062040816326530614,0.40653061224489795,0.022857142857142857
33,33,0.0,0.0016326530612244899,0.0008163265306122449,0.0,0.0,0.0032653061224489797,0.005714285714285714,0.05061224489795919,0.4310204081632653,0.022040816326530613
34,34,0.0,0.0016326530612244899,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.004081632653061225,0.0032653061224489797,0.026122448979591838,0.5583673469387755,0.03183673469387755
35,35,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.0008163265306122449,0.0032653061224489797,0.004897959183673469,0.03183673469387755,0.7053061224489796,0.026122448979591838
36,36,0.0,0.0,0.0,0.0,0.0016326530612244899,0.004081632653061225,0.004081632653061225,0.03183673469387755,0.7053061224489796,0.0236734693877551
37,37,0.0,0.0,0.0,0.0,0.0008163265306122449,0.004897959183673469,0.004081632653061225,0.03836734693877551,0.5820408163265306,0.022040816326530613
38,38,0.0,0.0,0.0,0.0016326530612244899,0.0008163265306122449,0.005714285714285714,0.004081632653061225,0.019591836734693877,0.4963265306122449,0.027755102040816326
39,39,0.0,0.0,0.0,0.0008163265306122449,0.0,0.004897959183673469,0.004897959183673469,0.017142857142857144,0.4448979591836735,0.017142857142857144
40,40,0.0016326530612244899,0.0,0.0,0.0016326530612244899,0.0,0.004897959183673469,0.004081632653061225,0.0163265306122449,0.33224489795918366,0.018775510204081632
41,41,0.0008163265306122449,0.0,0.0,0.0008163265306122449,0.0016326530612244899,0.004081632653061225,0.0032653061224489797,0.013877551020408163,0.36,0.017959183673469388
42,42,0.0008163265306122449,0.0,0.0,0.0,0.0,0.004081632653061225,0.0008163265306122449,0.011428571428571429,0.2653061224489796,0.014693877551020407
43,43,0.0008163265306122449,0.0,0.0,0.0,0.0,0.0032653061224489797,0.0008163265306122449,0.011428571428571429,0.19673469387755102,0.0163265306122449
44,44,0.0008163265306122449,0.0,0.0008163265306122449,0.0016326530612244899,0.0,0.0032653061224489797,0.0008163265306122449,0.011428571428571429,0.21714285714285714,0.018775510204081632
45,45,0.0016326530612244899,0.0,0.0016326530612244899,0.0016326530612244899,0.0,0.0032653061224489797,0.0016326530612244899,0.011428571428571429,0.33714285714285713,0.026122448979591838
46,46,0.0016326530612244899,0.0,0.0016326530612244899,0.0008163265306122449,0.0,0.0024489795918367346,0.0016326530612244899,0.010612244897959184,0.3240816326530612,0.029387755102040815
47,47,0.0016326530612244899,0.0008163265306122449,0.0008163265306122449,0.0,0.0008163265306122449,0.0032653061224489797,0.0016326530612244899,0.009795918367346938,0.4179591836734694,0.019591836734693877
48,48,0.0016326530612244899,0.0,0.0016326530612244899,0.0,0.0016326530612244899,0.0032653061224489797,0.0016326530612244899,0.010612244897959184,0.48081632653061224,0.029387755102040815
49,49,0.0024489795918367346,0.0,0.0,0.0008163265306122449,0.0008163265306122449,0.0024489795918367346,0.0032653061224489797,0.011428571428571429,0.4546938775510204,0.03183673469387755
50,50,0.0016326530612244899,0.0,0.0,0.0024489795918367346,0.0,0.0024489795918367346,0.004081632653061225,0.015510204081632653,0.4220408163265306,0.025306122448979593
51,51,0.0016326530612244899,0.0,0.0,0.0024489795918367346,0.0,0.0008163265306122449,0.005714285714285714,0.011428571428571429,0.48081632653061224,0.022857142857142857
52,52,0.0016326530612244899,0.0,0.0016326530612244899,0.0024489795918367346,0.0016326530612244899,0.0008163265306122449,0.004897959183673469,0.010612244897959184,0.7746938775510204,0.02122448979591837
53,53,0.0016326530612244899,0.0,0.0,0.0016326530612244899,0.0008163265306122449,0.0024489795918367346,0.004897959183673469,0.010612244897959184,0.7746938775510204,0.018775510204081632
54,54,0.0024489795918367346,0.0,0.0008163265306122449,0.0024489795918367346,0.0024489795918367346,0.0032653061224489797,0.004081632653061225,0.011428571428571429,0.7746938775510204,0.012244897959183673
55,55,0.0016326530612244899,0.0,0.0008163265306122449,0.0016326530612244899,0.0016326530612244899,0.0024489795918367346,0.0032653061224489797,0.011428571428571429,0.7746938775510204,0.00816326530612245
