,generation,nevals,new_hof,coverage_max,coverage_min,coverage_mean,coverage_std,altitude_max,altitude_min,altitude_mean,altitude_std,costs_max,costs_min,costs_mean,costs_std
82,82,50,0,1.0,0.4610263522884882,0.9724290337494221,0.08518185519419252,974.0,515.0,793.74,132.751468541783,247.0,32.0,152.52,46.079600692714344
83,83,50,0,1.0,0.4610263522884882,0.9769412852519648,0.082586153824616,974.0,515.0,801.92,134.82667985232004,240.0,60.0,167.44,44.680268575737095
84,84,50,0,1.0,0.7491447064262599,0.9893999075358298,0.03759129107148358,974.0,515.0,795.8,144.836735671583,240.0,85.0,179.4,43.439613257946945
85,85,50,0,1.0,0.565695792880259,0.9797836338418864,0.08523591702884402,953.0,515.0,809.64,136.7457143752593,240.0,65.0,180.84,50.02013994382663
86,86,50,0,1.0,0.8163661581137309,0.9857975034674064,0.04592210831472826,953.0,509.0,819.04,126.03427470335203,240.0,65.0,159.16,45.8141288250688
87,87,50,0,1.0,0.3840036985668054,0.9783948220064725,0.09153719645665791,953.0,503.0,810.74,133.63110566032148,240.0,65.0,160.08,38.245961878347366
88,88,50,0,1.0,0.7895515487748498,0.983913083680074,0.04436056805562124,953.0,509.0,803.44,127.92297057213767,240.0,65.0,159.4,41.92087785340379
89,89,50,0,1.0,0.8163661581137309,0.9866888580674988,0.0402185509777435,953.0,509.0,798.82,138.04183278991914,240.0,65.0,155.6,39.58737172382123
90,90,50,0,1.0,0.5927877947295423,0.974914470642626,0.08278597028865892,953.0,509.0,753.74,142.48477953802646,240.0,65.0,156.8,42.06518750701107
91,91,50,0,1.0,0.5927877947295423,0.9831030975496995,0.06277046985347258,953.0,509.0,735.72,137.71855938834096,288.0,65.0,163.54,51.081194191208965
92,92,50,0,1.0,0.8546463245492372,0.9825926953305594,0.04023925871502617,953.0,509.0,749.76,141.22231551705983,288.0,52.0,152.94,54.51913792421887
93,93,50,0,1.0,0.8546463245492372,0.9777438742487286,0.043914773943661715,895.0,509.0,771.16,150.6301908649126,288.0,52.0,169.78,63.62021376889581
94,94,50,0,1.0,0.5640314378178456,0.9758187702265373,0.0679839042600259,895.0,509.0,795.58,135.19882987659324,288.0,52.0,163.76,65.12988868407498
95,95,50,0,1.0,0.4436430883032825,0.9544780397595932,0.10372911578176688,943.0,509.0,781.12,149.43515516771816,288.0,30.0,134.3,64.42615928332216
96,96,50,0,1.0,0.7610725843735553,0.9633749422098937,0.06397957278672013,895.0,509.0,796.86,146.92379112995962,288.0,36.0,146.88,67.36605673482751
97,97,50,0,1.0,0.7610725843735553,0.975077207582062,0.04841739760630008,895.0,509.0,815.4,136.93691978425687,288.0,36.0,159.38,66.2316812409288
98,98,50,0,1.0,0.49311141932501157,0.9429828941285252,0.10446722208312585,895.0,509.0,804.04,144.40110248886606,288.0,36.0,138.68,60.92928359992427
99,99,50,0,1.0,0.6167360147942672,0.9535700416088764,0.09660549412513919,895.0,509.0,816.48,134.66079459144743,240.0,36.0,140.28,55.95571105794296
100,100,50,0,1.0,0.6167360147942672,0.9767988904299583,0.06621272605202497,895.0,509.0,806.9,148.76844423465616,240.0,36.0,150.18,52.91150725503858
