,gen,nevals,new_hof,coverage_avg,coverage_std,coverage_min,coverage_max,altitude_avg,altitude_std,altitude_min,altitude_max,costs_avg,costs_std,costs_min,costs_max
43,43,50,13,0.8501063337956541,0.13600033772225262,0.6053629218677762,1.0,698.66,147.40835932877076,511.0,988.0,76.24,48.31834434249584,24.0,266.0
44,44,50,8,0.8395598705501619,0.1372816594076559,0.6053629218677762,1.0,697.62,155.3069077665253,511.0,988.0,75.66,47.510676694823026,24.0,266.0
45,45,50,12,0.8425205732778548,0.14301182439796148,0.6053629218677762,1.0,720.82,154.8752646486843,511.0,988.0,75.98,53.7082824152849,24.0,266.0
46,46,50,12,0.8393952843273231,0.13662453265318555,0.6053629218677762,1.0,715.82,152.07309952782578,501.0,988.0,76.08,54.09467256578969,24.0,266.0
47,47,50,9,0.8511955617198338,0.13740888053219735,0.6014794267221452,1.0,710.44,156.45985555406858,501.0,988.0,79.4,54.17748609893228,24.0,266.0
48,48,50,9,0.8421803051317613,0.14046805014030095,0.6014794267221452,1.0,709.82,155.51793337104243,501.0,988.0,77.7,53.53213987876816,24.0,266.0
49,49,50,11,0.8524789644012946,0.1364387748893917,0.6014794267221452,1.0,696.18,148.4445606952306,501.0,988.0,77.48,46.81463019185348,24.0,240.0
50,50,50,7,0.8396449375866852,0.1439514707185332,0.6014794267221452,1.0,694.74,149.10383093669995,501.0,988.0,75.84,46.74798819200672,24.0,228.0
51,51,50,10,0.835053166897827,0.14361487071664847,0.6014794267221452,1.0,688.56,145.79522077215015,501.0,988.0,74.9,45.89128457561414,24.0,228.0
52,52,50,12,0.8393527508090615,0.14789871284024567,0.6014794267221452,1.0,696.16,150.38249366199514,501.0,988.0,81.1,58.29931388961623,24.0,266.0
53,53,50,12,0.841416551086454,0.1451640411851239,0.6014794267221452,1.0,695.02,156.88435103604183,501.0,988.0,82.1,57.80977426006782,24.0,266.0
54,54,50,13,0.838588996763754,0.14433622437535779,0.6014794267221452,1.0,699.52,159.12262441274655,501.0,988.0,81.16,59.23524626436527,24.0,266.0
55,55,50,18,0.8381914008321776,0.14652110351248124,0.6014794267221452,1.0,678.42,155.23274010336866,501.0,988.0,82.58,58.70437462404314,24.0,266.0
56,56,50,11,0.8421932501155802,0.14527635959439522,0.6014794267221452,1.0,698.18,165.35182974494114,501.0,988.0,75.68,46.63365308444107,24.0,192.0
57,57,50,12,0.8411502542764678,0.14340386515720702,0.6014794267221452,1.0,693.96,162.33951583025004,501.0,988.0,75.66,45.96329405079666,24.0,192.0
58,58,50,13,0.8330300508552937,0.14492905087307784,0.6014794267221452,1.0,687.22,157.12635552319034,501.0,988.0,74.62,45.84970665118807,24.0,192.0
59,59,50,17,0.8302394822006472,0.1460066901695466,0.6014794267221452,1.0,690.52,157.73740710433907,501.0,988.0,73.52,45.8468057775021,24.0,192.0
60,60,50,10,0.8381137309292649,0.14344402503210346,0.6014794267221452,1.0,688.56,162.7146164301167,501.0,988.0,75.26,45.07851372882651,24.0,192.0
61,61,50,11,0.8467073509015256,0.14831124339540408,0.6014794267221452,1.0,685.96,164.6581865562718,501.0,988.0,78.32,44.658454966557,24.0,192.0
